gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,average_score,total_score,performance,pass_status
female,group b,bachelor's degree,standard,none,72.0,72.0,74.0,72.66666666666667,218.0,good,pass
female,group c,some college,standard,completed,69.0,90.0,88.0,82.33333333333333,247.0,excellent,pass
female,group b,master's degree,standard,none,90.0,95.0,93.0,92.66666666666667,278.0,excellent,pass
male,group a,associate's degree,free/reduced,none,47.0,57.0,44.0,49.333333333333336,148.0,average,pass
male,group c,some college,standard,none,76.0,78.0,75.0,76.33333333333333,229.0,good,pass
female,group b,associate's degree,standard,none,71.0,83.0,78.0,77.33333333333333,232.0,good,pass
female,group b,some college,standard,completed,88.0,95.0,92.0,91.66666666666667,275.0,excellent,pass
male,group b,some college,free/reduced,none,40.0,43.0,39.0,40.666666666666664,122.0,average,fail
male,group d,high school,free/reduced,completed,64.0,64.0,67.0,65.0,195.0,good,pass
female,group b,high school,free/reduced,none,38.0,60.0,50.0,49.333333333333336,148.0,average,fail
male,group c,associate's degree,standard,none,58.0,54.0,52.0,54.666666666666664,164.0,average,pass
male,group d,associate's degree,standard,none,40.0,52.0,43.0,45.0,135.0,average,pass
female,group b,high school,standard,none,65.0,81.0,73.0,73.0,219.0,good,pass
male,group a,some college,standard,completed,78.0,72.0,70.0,73.33333333333333,220.0,good,pass
female,group a,master's degree,standard,none,50.0,53.0,58.0,53.666666666666664,161.0,average,pass
female,group c,some high school,standard,none,69.0,75.0,78.0,74.0,222.0,good,pass
male,group c,high school,standard,none,88.0,89.0,86.0,87.66666666666667,263.0,excellent,pass
female,group b,some high school,free/reduced,none,27.0,32.0,28.0,29.0,87.0,poor,fail
male,group c,master's degree,free/reduced,completed,46.0,42.0,46.0,44.666666666666664,134.0,average,pass
female,group c,associate's degree,free/reduced,none,54.0,58.0,61.0,57.666666666666664,173.0,average,pass
male,group d,high school,standard,none,66.0,69.0,63.0,66.0,198.0,good,pass
female,group b,some college,free/reduced,completed,65.0,75.0,70.0,70.0,210.0,good,pass
male,group d,some college,standard,none,44.0,54.0,53.0,50.333333333333336,151.0,average,pass
female,group c,some high school,standard,none,69.0,73.0,73.0,71.66666666666667,215.0,good,pass
male,group d,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,75.0,225.0,good,pass
male,group a,master's degree,free/reduced,none,73.0,74.0,72.0,73.0,219.0,good,pass
male,group b,some college,standard,none,69.0,54.0,55.0,59.333333333333336,178.0,average,pass
female,group c,bachelor's degree,standard,none,67.0,69.0,75.0,70.33333333333333,211.0,good,pass
male,group c,high school,standard,none,70.0,70.0,65.0,68.33333333333333,205.0,good,pass
female,group d,master's degree,standard,none,62.0,70.0,75.0,69.0,207.0,good,pass
female,group d,some college,standard,none,69.0,74.0,74.0,72.33333333333333,217.0,good,pass
female,group b,some college,standard,none,63.0,65.0,61.0,63.0,189.0,good,pass
female,group e,master's degree,free/reduced,none,56.0,72.0,65.0,64.33333333333333,193.0,good,pass
male,group d,some college,standard,none,40.0,42.0,38.0,40.0,120.0,average,fail
male,group e,some college,standard,none,97.0,87.0,82.0,88.66666666666667,266.0,excellent,pass
male,group e,associate's degree,standard,completed,81.0,81.0,79.0,80.33333333333333,241.0,excellent,pass
female,group d,associate's degree,standard,none,74.0,81.0,83.0,79.33333333333333,238.0,good,pass
female,group d,some high school,free/reduced,none,50.0,64.0,59.0,57.666666666666664,173.0,average,pass
female,group d,associate's degree,free/reduced,completed,75.0,90.0,88.0,84.33333333333333,253.0,excellent,pass
male,group b,associate's degree,free/reduced,none,57.0,56.0,57.0,56.666666666666664,170.0,average,pass
male,group c,associate's degree,free/reduced,none,55.0,61.0,54.0,56.666666666666664,170.0,average,pass
female,group c,associate's degree,standard,none,58.0,73.0,68.0,66.33333333333333,199.0,good,pass
female,group b,associate's degree,standard,none,53.0,58.0,65.0,58.666666666666664,176.0,average,pass
male,group b,some college,free/reduced,completed,59.0,65.0,66.0,63.333333333333336,190.0,good,pass
female,group e,associate's degree,free/reduced,none,50.0,56.0,54.0,53.333333333333336,160.0,average,pass
male,group b,associate's degree,standard,none,65.0,54.0,57.0,58.666666666666664,176.0,average,pass
female,group a,associate's degree,standard,completed,55.0,65.0,62.0,60.666666666666664,182.0,good,pass
female,group c,high school,standard,none,66.0,71.0,76.0,71.0,213.0,good,pass
female,group d,associate's degree,free/reduced,completed,57.0,74.0,76.0,69.0,207.0,good,pass
male,group c,high school,standard,completed,82.0,84.0,82.0,82.66666666666667,248.0,excellent,pass
male,group e,some college,standard,none,53.0,55.0,48.0,52.0,156.0,average,pass
male,group e,associate's degree,free/reduced,completed,77.0,69.0,68.0,71.33333333333333,214.0,good,pass
male,group c,some college,standard,none,53.0,44.0,42.0,46.333333333333336,139.0,average,pass
male,group d,high school,standard,none,88.0,78.0,75.0,80.33333333333333,241.0,excellent,pass
female,group c,some high school,free/reduced,completed,71.0,84.0,87.0,80.66666666666667,242.0,excellent,pass
female,group c,high school,free/reduced,none,33.0,41.0,43.0,39.0,117.0,poor,fail
female,group e,associate's degree,standard,completed,82.0,85.0,86.0,84.33333333333333,253.0,excellent,pass
male,group d,associate's degree,standard,none,52.0,55.0,49.0,52.0,156.0,average,pass
male,group d,some college,standard,completed,58.0,59.0,58.0,58.333333333333336,175.0,average,pass
female,group c,some high school,free/reduced,none,27.0,29.0,25.875,27.291666666666668,81.875,poor,fail
male,group e,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,75.0,225.0,good,pass
male,group a,some high school,free/reduced,none,39.0,39.0,34.0,37.333333333333336,112.0,poor,fail
male,group a,associate's degree,free/reduced,none,62.0,61.0,55.0,59.333333333333336,178.0,average,pass
female,group c,associate's degree,standard,none,69.0,80.0,71.0,73.33333333333333,220.0,good,pass
female,group d,some high school,standard,none,59.0,58.0,59.0,58.666666666666664,176.0,average,pass
male,group b,some high school,standard,none,67.0,64.0,61.0,64.0,192.0,good,pass
male,group d,some high school,free/reduced,none,45.0,37.0,37.0,39.666666666666664,119.0,poor,fail
female,group c,some college,standard,none,60.0,72.0,74.0,68.66666666666667,206.0,good,pass
male,group b,associate's degree,free/reduced,none,61.0,58.0,56.0,58.333333333333336,175.0,average,pass
female,group c,associate's degree,standard,none,39.0,64.0,57.0,53.333333333333336,160.0,average,fail
female,group d,some college,free/reduced,completed,58.0,63.0,73.0,64.66666666666667,194.0,good,pass
male,group d,some college,standard,completed,63.0,55.0,63.0,60.333333333333336,181.0,good,pass
female,group a,associate's degree,free/reduced,none,41.0,51.0,48.0,46.666666666666664,140.0,average,pass
male,group c,some high school,free/reduced,none,61.0,57.0,56.0,58.0,174.0,average,pass
male,group c,some high school,standard,none,49.0,49.0,41.0,46.333333333333336,139.0,average,pass
male,group b,associate's degree,free/reduced,none,44.0,41.0,38.0,41.0,123.0,average,fail
male,group e,some high school,standard,none,30.0,29.0,25.875,28.291666666666668,84.875,poor,fail
male,group a,bachelor's degree,standard,completed,80.0,78.0,81.0,79.66666666666667,239.0,good,pass
female,group d,some high school,standard,completed,61.0,74.0,72.0,69.0,207.0,good,pass
female,group e,master's degree,standard,none,62.0,68.0,68.0,66.0,198.0,good,pass
female,group b,associate's degree,standard,none,47.0,49.0,50.0,48.666666666666664,146.0,average,pass
male,group b,high school,free/reduced,none,49.0,45.0,45.0,46.333333333333336,139.0,average,pass
male,group a,some college,free/reduced,completed,50.0,47.0,54.0,50.333333333333336,151.0,average,pass
male,group e,associate's degree,standard,none,72.0,64.0,63.0,66.33333333333333,199.0,good,pass
male,group d,high school,free/reduced,none,42.0,39.0,34.0,38.333333333333336,115.0,poor,fail
female,group c,some college,standard,none,73.0,80.0,82.0,78.33333333333333,235.0,good,pass
female,group c,some college,free/reduced,none,76.0,83.0,88.0,82.33333333333333,247.0,excellent,pass
female,group d,associate's degree,standard,none,71.0,71.0,74.0,72.0,216.0,good,pass
female,group a,some college,standard,none,58.0,70.0,67.0,65.0,195.0,good,pass
female,group d,some high school,standard,none,73.0,86.0,82.0,80.33333333333333,241.0,excellent,pass
female,group c,bachelor's degree,standard,none,65.0,72.0,74.0,70.33333333333333,211.0,good,pass
male,group c,high school,free/reduced,none,27.0,34.0,36.0,32.333333333333336,97.0,poor,fail
male,group c,high school,standard,none,71.0,79.0,71.0,73.66666666666667,221.0,good,pass
male,group c,associate's degree,free/reduced,completed,43.0,45.0,50.0,46.0,138.0,average,pass
female,group b,some college,standard,none,79.0,86.0,92.0,85.66666666666667,257.0,excellent,pass
male,group c,associate's degree,free/reduced,completed,78.0,81.0,82.0,80.33333333333333,241.0,excellent,pass
male,group b,some high school,standard,completed,65.0,66.0,62.0,64.33333333333333,193.0,good,pass
female,group e,some college,standard,completed,63.0,72.0,70.0,68.33333333333333,205.0,good,pass
female,group d,some college,free/reduced,none,58.0,67.0,62.0,62.333333333333336,187.0,good,pass
female,group d,bachelor's degree,standard,none,65.0,67.0,62.0,64.66666666666667,194.0,good,pass
male,group b,some college,standard,none,79.0,67.0,67.0,71.0,213.0,good,pass
male,group d,bachelor's degree,standard,completed,68.0,74.0,74.0,72.0,216.0,good,pass
female,group d,associate's degree,standard,none,85.0,91.0,89.0,88.33333333333333,265.0,excellent,pass
male,group b,high school,standard,completed,60.0,44.0,47.0,50.333333333333336,151.0,average,pass
male,group c,some college,standard,completed,98.0,86.0,90.0,91.33333333333333,274.0,excellent,pass
female,group c,some college,standard,none,58.0,67.0,72.0,65.66666666666667,197.0,good,pass
female,group d,master's degree,standard,none,87.0,100.0,100.0,95.66666666666667,287.0,excellent,pass
male,group e,associate's degree,standard,completed,66.0,63.0,64.0,64.33333333333333,193.0,good,pass
female,group b,associate's degree,free/reduced,none,52.0,76.0,70.0,66.0,198.0,good,pass
female,group b,some high school,standard,none,70.0,64.0,72.0,68.66666666666667,206.0,good,pass
female,group d,associate's degree,free/reduced,completed,77.0,89.0,98.0,88.0,264.0,excellent,pass
male,group c,high school,standard,none,62.0,55.0,49.0,55.333333333333336,166.0,average,pass
male,group a,associate's degree,standard,none,54.0,53.0,47.0,51.333333333333336,154.0,average,pass
